Cuisine,Count
Bengali,29
French,29
Juices,29
Arabian,28
Brazilian,28
Hyderabadi,26
Southern,24
Kerala,23
Vegetarian,23
Malaysian,22
Middle Eastern,22
Grill,21
International,21
Korean,21
Rajasthani,21
Vietnamese,21
Goan,20
Kashmiri,20
Coffee and Tea,19
Tapas,19
Tex-Mex,19
British,16
Modern Indian,16
Spanish,16
Greek,15
Turkish,15
Afghani,14
Indonesian,14
Lucknowi,13
Pakistani,12
Awadhi,11
Chettinad,11
Gujarati,11
Latin American,11
Modern Australian,11
Andhra,10
Burmese,10
Cajun,10
Filipino,10
German,10
Kebab,10
Maharashtrian,10
Western,10
Contemporary,9
Nepalese,9
North Eastern,9
Unknown,9
African,8
Hawaiian,8
Naga,8
Parsi,8
Turkish Pizza,8
Caribbean,7
Portuguese,7
Southwestern,7
Bihari,6
Curry,6
Diner,6
Kiwi,6
South African,6
Australian,5
Moroccan,5
Sri Lankan,5
Assamese,4
Charcoal Grill,4
Fusion,4
Mangalorean,4
Patisserie,4
Restaurant Cafe,4
Singaporean,4
World Cuisine,4
Armenian,3
Deli,3
Dim Sum,3
Iranian,3
Scottish,3
Sunda,3
Argentine,2
Asian Fusion,2
Belgian,2
Cantonese,2
Cuban,2
Drinks Only,2
Izgara,2
New American,2
Oriya,2
Persian,2
Pub Food,2
Ramen,2
South American,2
Taiwanese,2
Teriyaki,2
Borek,1
Bubble Tea,1
Canadian,1
Cuisine Varies,1
Doner,1
Durban,1
Fish and Chips,1
Gourmet Fast Food,1
Irish,1
Malay,1
Malwani,1
Mineira,1
Peranakan,1
Peruvian,1
Soul Food,1
