Cuisine,Precision,Recall,F1-score,Support
Raw Meats,0.8095238095238095,0.85,0.8292682926829268,20.0
Salad,0.7,0.875,0.7777777777777778,16.0
Mithai,0.734375,0.8245614035087719,0.7768595041322314,57.0
Goan,0.75,0.75,0.75,4.0
Ice Cream,0.6842105263157895,0.7878787878787878,0.7323943661971831,33.0
North Indian,0.8097165991902834,0.6504065040650406,0.721370604147881,615.0
Pizza,0.7954545454545454,0.6140350877192983,0.693069306930693,57.0
Bakery,0.7047619047619048,0.6434782608695652,0.6727272727272727,115.0
Healthy Food,0.5357142857142857,0.7142857142857143,0.6122448979591837,21.0
Indian,0.5,0.7692307692307693,0.6060606060606061,13.0
Street Food,0.5161290322580645,0.6857142857142857,0.588957055214724,70.0
Cafe,0.5396825396825397,0.6355140186915887,0.5836909871244635,107.0
Fast Food,0.6386554621848739,0.5277777777777778,0.5779467680608364,288.0
Chinese,0.6442307692307693,0.5075757575757576,0.5677966101694916,396.0
Biryani,0.53125,0.5483870967741935,0.5396825396825397,31.0
Desserts,0.52,0.5098039215686274,0.5148514851485149,102.0
American,0.52,0.48148148148148145,0.5,81.0
Burger,0.4772727272727273,0.525,0.5,40.0
Italian,0.4126984126984127,0.4642857142857143,0.4369747899159664,112.0
BBQ,0.3333333333333333,0.6,0.42857142857142855,5.0
Southern,0.3333333333333333,0.6,0.42857142857142855,5.0
Continental,0.36666666666666664,0.49107142857142855,0.4198473282442748,112.0
Mughlai,0.39490445859872614,0.43356643356643354,0.41333333333333333,143.0
Thai,0.38461538461538464,0.4411764705882353,0.410958904109589,34.0
Brazilian,0.25,1.0,0.4,2.0
European,0.34210526315789475,0.4642857142857143,0.3939393939393939,28.0
Tea,0.25,0.75,0.375,4.0
Breakfast,0.25,0.5714285714285714,0.34782608695652173,7.0
Beverages,0.3142857142857143,0.3793103448275862,0.34375,29.0
South Indian,0.3611111111111111,0.29545454545454547,0.325,88.0
Grill,0.23076923076923078,0.5,0.3157894736842105,6.0
Tibetan,0.2,0.6666666666666666,0.3076923076923077,3.0
Seafood,0.24324324324324326,0.375,0.29508196721311475,24.0
Sandwich,0.2,0.36363636363636365,0.25806451612903225,11.0
Malaysian,0.16666666666666666,0.5,0.25,2.0
Mexican,0.17857142857142858,0.3333333333333333,0.23255813953488372,30.0
Asian,0.1836734693877551,0.3103448275862069,0.23076923076923078,29.0
Japanese,0.16666666666666666,0.375,0.23076923076923078,16.0
Finger Food,0.15151515151515152,0.3125,0.20408163265306123,16.0
Kashmiri,0.2,0.2,0.2,5.0
Sushi,0.14285714285714285,0.3,0.1935483870967742,10.0
Mediterranean,0.13157894736842105,0.2631578947368421,0.17543859649122806,19.0
Steak,0.11764705882352941,0.2857142857142857,0.16666666666666666,7.0
Rajasthani,0.1111111111111111,0.25,0.15384615384615385,4.0
Bengali,0.07142857142857142,0.3333333333333333,0.11764705882352941,6.0
Bar Food,0.0625,0.25,0.1,4.0
Lebanese,0.07407407407407407,0.14285714285714285,0.0975609756097561,14.0
Arabian,0.0,0.0,0.0,9.0
International,0.0,0.0,0.0,6.0
Kerala,0.0,0.0,0.0,5.0
Vegetarian,0.0,0.0,0.0,5.0
Middle Eastern,0.0,0.0,0.0,4.0
French,0.0,0.0,0.0,3.0
Juices,0.0,0.0,0.0,3.0
Korean,0.0,0.0,0.0,2.0
Vietnamese,0.0,0.0,0.0,2.0
Hyderabadi,0.0,0.0,0.0,1.0
