Candidate,Fold,RMSE,MAE,R2,Best Iteration,depth,learning_rate,l2_leaf_reg,random_strength,bagging_temperature
1,1,0.30367806950367904,0.20023127964223797,0.9605304922920936,798,8,0.03,5,1.0,1
1,2,0.3126289525910833,0.2121437699650183,0.9575014223625129,762,8,0.03,5,1.0,1
1,3,0.30607253098182297,0.20484394943793732,0.959533794212629,781,8,0.03,5,1.0,1
2,1,0.30548186319980725,0.20141192893376825,0.9600602160441093,793,8,0.03,7,0.5,0
2,2,0.3125777599891162,0.21116274121378872,0.9575153394013809,782,8,0.03,7,0.5,0
2,3,0.3051914408194466,0.20355674341926286,0.9597664387863605,796,8,0.03,7,0.5,0
3,1,0.30358497435134685,0.20111844630278428,0.9605546880242773,747,10,0.05,7,0.5,0
3,2,0.3150456623479248,0.21346359968323642,0.9568418308414969,425,10,0.05,7,0.5,0
3,3,0.3062311130633421,0.2053614123896512,0.9594918507061939,510,10,0.05,7,0.5,0
4,1,0.30726383187580025,0.2019362609511218,0.9595928951659807,799,10,0.02,9,0.5,0
4,2,0.31429387853879626,0.21221310469958532,0.9570475591195993,791,10,0.02,9,0.5,0
4,3,0.30763335341602777,0.20642140640549445,0.9591200255818185,796,10,0.02,9,0.5,0
5,1,0.3077404414515538,0.20454219507443314,0.9594674436982092,783,8,0.03,9,2.0,1
5,2,0.3128153748926408,0.21414843826877228,0.9574507229966401,782,8,0.03,9,2.0,1
5,3,0.3069891321125201,0.20704635120472153,0.959291061491923,796,8,0.03,9,2.0,1
6,1,0.3061628657794905,0.2014978573877027,0.9598819441641967,799,6,0.03,7,0.5,1
6,2,0.3118308454419382,0.21111063909862393,0.9577181337283284,798,6,0.03,7,0.5,1
6,3,0.30529932823672784,0.2040752668303223,0.9597379880393179,797,6,0.03,7,0.5,1
7,1,0.30856798381926537,0.20303963261160377,0.9592491590505144,799,6,0.02,5,0.5,1
7,2,0.3119319510442816,0.21029204672038773,0.9576907109979881,799,6,0.02,5,0.5,1
7,3,0.3057058355801425,0.20419091088604602,0.9596306985811246,792,6,0.02,5,0.5,1
8,1,0.3070557321296789,0.20409891177506767,0.959647609453273,798,10,0.02,3,2.0,0
8,2,0.3141138244219103,0.214811186805571,0.9570967586049328,797,10,0.02,3,2.0,0
8,3,0.30655596700875193,0.2066255914427925,0.9594058619787267,799,10,0.02,3,2.0,0
