Feature,Importance
Log Votes,87.56019336778974
Popularity Category,2.467375528129914
Cuisines,1.3415135265861575
Location Cluster,0.891328778318099
Restaurant Cost Category,0.8770217839125377
Latitude,0.7814619740959681
City Restaurant Count,0.7445779559920822
Longitude,0.7216961544926724
Country Code,0.6954711885112851
City wise Cost Category,0.6729908369268169
City,0.5826257090295928
Cuisine Count,0.5333501277117768
City Location Cluster,0.4654286002721593
Has Online delivery,0.32324859667214495
Cost Relative To City,0.3202426694428576
Average Cost for two,0.29710480474882717
Log Average Cost INR,0.19342396339711754
Average Cost INR,0.15779852052948729
Price range,0.15331000151896093
Is Expensive,0.11632019957363769
Has Table booking,0.08836389298845006
Is delivering now,0.015151819359633247
